election_date,state,election_type,status,in_person_poll_open_times,in_person_poll_close_times,additional_notes
2022-11-08,GA,general,planned,2022-11-08T12:00:00.000Z,2022-11-09T00:00:00.000Z,
2022-11-08,HI,general,planned,2022-11-08T17:00:00.000Z,2022-11-09T05:00:00.000Z,
2022-11-08,IA,general,planned,2022-11-08T13:00:00.000Z,2022-11-09T02:00:00.000Z,
2022-11-08,ID,general,planned,2022-11-08T15:00:00.000Z (areas in Mountain Time Zone [most of state]) / 2022-11-08T16:00:00.000Z (areas in Pacific Time Zone),2022-11-09T03:00:00.000Z (areas in Mountain Time Zone [most of state]) / 2022-11-09T04:00:00.000Z (areas in Pacific Time Zone),
2022-11-08,IL,general,planned,2022-11-08T12:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,IN,general,planned,2022-11-08T11:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-08T12:00:00.000Z (areas in Central Time Zone),2022-11-08T23:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-09T00:00:00.000Z (areas in Central Time Zone),
2022-11-08,KS,general,planned,2022-11-08T13:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-11-08T14:00:00.000Z (areas in Mountain Time Zone),2022-11-09T01:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-11-09T02:00:00.000Z (areas in Mountain Time Zone),
2022-11-08,KY,general,planned,2022-11-08T11:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-08T12:00:00.000Z (areas in Central Time Zone),2022-11-08T23:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-09T00:00:00.000Z (areas in Central Time Zone),
2022-11-08,LA,majorityElectsPrimary,planned,2022-11-08T12:00:00.000Z,2022-11-09T02:00:00.000Z,
2022-11-08,MD,general,planned,2022-11-08T12:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,ME,general,planned,2022-11-08T11:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,MI,general,planned,2022-11-08T12:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-08T13:00:00.000Z (areas in Central Time Zone),2022-11-09T01:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-09T02:00:00.000Z (areas in Central Time Zone),
2022-11-08,MN,general,planned,2022-11-08T13:00:00.000Z,2022-11-09T02:00:00.000Z,
2022-11-08,MO,general,planned,2022-11-08T12:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,MS,general,planned,2022-11-08T13:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,MT,general,planned,2022-11-08T14:00:00.000Z,2022-11-09T03:00:00.000Z,
2022-11-08,NC,general,planned,2022-11-08T11:30:00.000Z,2022-11-09T00:30:00.000Z,
2022-11-08,ND,general,planned,2022-11-08T13:00:00.000Z (earliest opening areas) / 2022-11-08T16:00:00.000Z (latest opening areas),2022-11-09T01:00:00.000Z (earliest closing areas) / 2022-11-09T04:00:00.000Z (latest closing areas),
2022-11-08,NE,general,planned,2022-11-08T14:00:00.000Z,2022-11-09T02:00:00.000Z,
